,concept:name,org:resource,time:timestamp,Activity,Resource,lifecycle:transition,eventId,case:concept:name,case:traceId
0,go_wardrobe,0,2020-03-16 00:00:00+00:00,go_wardrobe,0,complete,1484,prepared_sleep,117
1,get_clothes,0,2020-03-16 00:00:00+00:00,get_clothes,0,start,1485,prepared_sleep,117
2,get_clothes,0,2020-03-16 00:01:00+00:00,get_clothes,0,complete,1487,prepared_sleep,117
3,go_bathtub,0,2020-03-16 00:01:00+00:00,go_bathtub,0,complete,1488,prepared_sleep,117
4,have_bath,0,2020-03-16 00:01:00+00:00,have_bath,0,start,1489,prepared_sleep,117
5,have_bath,0,2020-03-16 00:26:00+00:00,have_bath,0,complete,1491,prepared_sleep,117
6,go_bathroom_sink,0,2020-03-16 00:26:00+00:00,go_bathroom_sink,0,complete,1492,prepared_sleep,117
7,brush_teeth,0,2020-03-16 00:26:00+00:00,brush_teeth,0,start,1493,prepared_sleep,117
8,brush_teeth,0,2020-03-16 00:31:00+00:00,brush_teeth,0,complete,1495,prepared_sleep,117
9,go_bed,0,2020-03-16 00:31:00+00:00,go_bed,0,complete,1496,prepared_sleep,117
10,go_bed,0,2020-03-16 00:32:00+00:00,go_bed,0,complete,1497,prepared_sleep,117
11,sleep_in_bed,0,2020-03-16 00:32:00+00:00,sleep_in_bed,0,start,1498,prepared_sleep,117
12,sleep_in_bed,0,2020-03-16 07:27:00+00:00,sleep_in_bed,0,complete,1500,prepared_sleep,117
13,go_wardrobe,0,2020-03-16 07:27:00+00:00,go_wardrobe,0,complete,1501,prepared_sleep,117
14,change_clothes,0,2020-03-16 07:27:00+00:00,change_clothes,0,start,1502,prepared_sleep,117
15,change_clothes,0,2020-03-16 07:31:00+00:00,change_clothes,0,complete,1504,prepared_sleep,117
16,go_wardrobe,0,2020-03-16 23:34:00+00:00,go_wardrobe,0,complete,1646,prepared_sleep,117
17,get_clothes,0,2020-03-16 23:34:00+00:00,get_clothes,0,start,1647,prepared_sleep,117
18,get_clothes,0,2020-03-16 23:35:00+00:00,get_clothes,0,complete,1649,prepared_sleep,117
19,go_bathtub,0,2020-03-16 23:35:00+00:00,go_bathtub,0,complete,1650,prepared_sleep,117
20,have_bath,0,2020-03-16 23:35:00+00:00,have_bath,0,start,1651,prepared_sleep,117
21,have_bath,0,2020-03-17 00:02:00+00:00,have_bath,0,complete,1653,prepared_sleep,117
22,go_bathroom_sink,0,2020-03-17 00:02:00+00:00,go_bathroom_sink,0,complete,1654,prepared_sleep,117
23,brush_teeth,0,2020-03-17 00:02:00+00:00,brush_teeth,0,start,1655,prepared_sleep,117
24,brush_teeth,0,2020-03-17 00:07:00+00:00,brush_teeth,0,complete,1657,prepared_sleep,117
25,go_bed,0,2020-03-17 00:07:00+00:00,go_bed,0,complete,1658,prepared_sleep,117
26,go_bed,0,2020-03-17 00:08:00+00:00,go_bed,0,complete,1659,prepared_sleep,117
