,concept:name,org:resource,time:timestamp,Activity,Resource,lifecycle:transition,eventId,case:concept:name,case:traceId
0,go_wardrobe,0,2020-03-16 00:00:00+00:00,go_wardrobe,0,complete,0,sleeping_BP,0
1,get_clothes,0,2020-03-16 00:00:00+00:00,get_clothes,0,start,1,sleeping_BP,0
2,noise 20,0,2020-03-16 00:00:00+00:00,noise 20,0,complete,2,sleeping_BP,0
3,get_clothes,0,2020-03-16 00:01:00+00:00,get_clothes,0,complete,3,sleeping_BP,0
4,change_clothes,0,2020-03-16 00:01:00+00:00,change_clothes,0,start,4,sleeping_BP,0
5,change_clothes,0,2020-03-16 00:05:00+00:00,change_clothes,0,complete,5,sleeping_BP,0
6,go_bathtub,0,2020-03-16 00:05:00+00:00,go_bathtub,0,complete,6,sleeping_BP,0
7,go_bathtub,0,2020-03-16 00:06:00+00:00,go_bathtub,0,complete,7,sleeping_BP,0
8,have_bath,0,2020-03-16 00:06:00+00:00,have_bath,0,start,8,sleeping_BP,0
9,noise 40,0,2020-03-16 00:06:00+00:00,noise 40,0,complete,9,sleeping_BP,0
10,have_bath,0,2020-03-16 00:30:00+00:00,have_bath,0,complete,10,sleeping_BP,0
11,go_bathroom_sink,0,2020-03-16 00:30:00+00:00,go_bathroom_sink,0,complete,11,sleeping_BP,0
12,brush_teeth,0,2020-03-16 00:30:00+00:00,brush_teeth,0,start,12,sleeping_BP,0
13,noise 20,0,2020-03-16 00:30:00+00:00,noise 20,0,complete,13,sleeping_BP,0
14,brush_teeth,0,2020-03-16 00:36:00+00:00,brush_teeth,0,complete,14,sleeping_BP,0
15,go_bed,0,2020-03-16 00:36:00+00:00,go_bed,0,complete,15,sleeping_BP,0
16,sleep_in_bed,0,2020-03-16 00:36:00+00:00,sleep_in_bed,0,start,16,sleeping_BP,0
17,noise 2,0,2020-03-16 00:36:00+00:00,noise 2,0,complete,17,sleeping_BP,0
18,sleep_in_bed,0,2020-03-16 07:33:00+00:00,sleep_in_bed,0,complete,18,sleeping_BP,0
19,go_wardrobe,0,2020-03-16 07:33:00+00:00,go_wardrobe,0,complete,19,sleeping_BP,0
20,change_clothes,0,2020-03-16 07:33:00+00:00,change_clothes,0,start,20,sleeping_BP,0
21,noise 20,0,2020-03-16 07:33:00+00:00,noise 20,0,complete,21,sleeping_BP,0
22,change_clothes,0,2020-03-16 07:38:00+00:00,change_clothes,0,complete,22,sleeping_BP,0
23,go_kitchen_shelf,0,2020-03-16 07:38:00+00:00,go_kitchen_shelf,0,complete,23,drink,1
24,get_glass,0,2020-03-16 07:38:00+00:00,get_glass,0,start,24,drink,1
25,noise 20,0,2020-03-16 07:38:00+00:00,noise 20,0,complete,25,drink,1
26,get_glass,0,2020-03-16 07:39:00+00:00,get_glass,0,complete,26,drink,1
27,go_kitchen_sink,0,2020-03-16 07:39:00+00:00,go_kitchen_sink,0,complete,27,drink,1
28,get_water,0,2020-03-16 07:39:00+00:00,get_water,0,start,28,drink,1
29,noise 20,0,2020-03-16 07:39:00+00:00,noise 20,0,complete,29,drink,1
30,get_water,0,2020-03-16 07:39:00+00:00,get_water,0,complete,30,drink,1
31,drink_water,0,2020-03-16 07:39:00+00:00,drink_water,0,start,31,drink,1
32,noise 10,0,2020-03-16 07:39:00+00:00,noise 10,0,complete,32,drink,1
33,drink_water,0,2020-03-16 07:40:00+00:00,drink_water,0,complete,33,drink,1
34,go_computer,0,2020-03-16 07:40:00+00:00,go_computer,0,complete,34,housekeeping_BP,2
